eventID,sceneID,speakerID,Nick Fury (1),Phil Coulson (2),Maria Hill (3),Erik Selvig (4),Clint Barton (5),Loki (6),Luchkov (7),Natasha Romanoff (8),Bruce Banner (9),Steve Rogers (10),Tony Stark (11),Pepper Potts (12),JARVIS (13),The Other (14),Jasper Sitwell (15),Thor (16)
46,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
47,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
49,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51,4,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
54,4,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
55,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
56,5,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
57,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
58,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
59,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
60,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
63,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
65,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,6,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
69,6,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
70,6,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
71,6,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72,6,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
73,6,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
74,6,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
75,6,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
77,6,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
78,6,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,6,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
80,6,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,6,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
82,6,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,6,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
84,6,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,6,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,6,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
87,6,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
