eventID,sceneID,speakerID,Happy Hogan (1),Tony Stark (2),Maya Hansen (3),Ho Yinsen (4),Aldrich Killian (5),JARVIS (6),James Rhodes (7),Pepper Potts (8),Savin (9),Taggart (10),Harley Keener (11),Brandt (12),Mrs. Davis (13),Gary (14),Trevor Slattery (15),VP Rodriguez (16),President Ellis (17),Bruce Banner (18)
121,7,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
123,7,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
125,7,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
127,7,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
129,7,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
131,7,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
133,7,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
135,7,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
137,7,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
138,7,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
139,7,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
140,7,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
141,7,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
142,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
143,7,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
145,7,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
147,7,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
149,7,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,7,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
151,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
152,9,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
153,9,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
154,9,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
155,9,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
156,9,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
157,9,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
158,9,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
159,9,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
160,9,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
161,9,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
162,9,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
163,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
