eventID,sceneID,speakerID,Meredith Quill (1),Ego (2),Peter Quill (3),Gamora (4),Drax (5),Rocket Raccoon (6),Groot (7),Ayesha (8),Nebula (9),Tullk (10),Yondu Udonta (11),Stakar Ogord (12),Taserface (13),Kraglin (14),Mantis (15),Gef (16),Martinex (17),Charlie-27 (18),Aleta Ogord (19)
20,2,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
36,2,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
37,2,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
