eventID,sceneID,speakerID,The Ancient One (1),Kaecilius (2),Stephen Strange (3),Billy (4),Christine Palmer (5),Nicodemus West (6),Jonathan Pangborn (7),Mordo (8),Wong (9),Daniel Drumm (10),Dormammu (11),Thor (12)
163,14,3,1,0,0,0,0,0,0,0,0,0,0,0
164,14,1,0,0,1,0,0,0,0,0,0,0,0,0
165,14,3,1,0,0,0,0,0,0,0,0,0,0,0
166,14,1,0,0,1,0,0,0,0,0,0,0,0,0
167,14,3,1,0,0,0,0,0,0,0,0,0,0,0
168,14,1,0,0,1,0,0,0,0,0,0,0,0,0
169,14,3,1,0,0,0,0,0,0,0,0,0,0,0
170,14,1,0,0,1,0,0,0,0,0,0,0,0,0
171,14,3,1,0,0,0,0,0,0,0,0,0,0,0
172,14,1,0,0,1,0,0,0,0,0,0,0,0,0
173,14,3,1,0,0,0,0,0,0,0,0,0,0,0
174,14,3,1,0,0,0,0,0,0,0,0,0,0,0
175,14,1,0,0,1,0,0,0,0,0,0,0,0,0
176,14,3,1,0,0,0,0,0,0,0,0,0,0,0
177,14,1,0,0,1,0,0,0,0,0,0,0,0,0
178,14,3,1,0,0,0,0,0,0,0,0,0,0,0
179,14,1,0,0,1,0,0,0,0,0,0,0,0,0
180,14,3,1,0,0,0,0,0,0,0,0,0,0,0
181,14,1,0,0,1,0,0,0,0,0,0,0,0,0
182,14,1,0,0,1,0,0,0,0,0,0,0,0,0
183,14,8,1,0,0,0,0,0,0,0,0,0,0,0
184,14,1,0,0,0,0,0,0,0,1,0,0,0,0
185,14,1,0,0,1,0,0,0,0,0,0,0,0,0
186,14,1,0,0,1,0,0,0,0,0,0,0,0,0
187,14,1,0,0,1,0,0,0,0,0,0,0,0,0
188,14,1,0,0,1,0,0,0,0,0,0,0,0,0
189,14,1,0,0,1,0,0,0,0,0,0,0,0,0
190,14,1,0,0,1,0,0,0,0,0,0,0,0,0
191,14,1,0,0,1,0,0,0,0,0,0,0,0,0
192,14,3,1,0,0,0,0,0,0,0,0,0,0,0
193,14,1,0,0,1,0,0,0,0,0,0,0,0,0
194,15,1,0,0,0,0,0,0,0,1,0,0,0,0
195,15,8,1,0,0,0,0,0,0,0,0,0,0,0
196,15,1,0,0,0,0,0,0,0,1,0,0,0,0
197,15,8,1,0,0,0,0,0,0,0,0,0,0,0
198,15,1,0,0,0,0,0,0,0,1,0,0,0,0
199,15,8,1,0,0,0,0,0,0,0,0,0,0,0
200,15,1,0,0,0,0,0,0,0,1,0,0,0,0
201,15,8,1,0,0,0,0,0,0,0,0,0,0,0
202,15,8,1,0,0,0,0,0,0,0,0,0,0,0
203,16,8,0,0,1,0,0,0,0,0,0,0,0,0
204,16,3,0,0,0,0,0,0,0,1,0,0,0,0
205,16,8,0,0,1,0,0,0,0,0,0,0,0,0
206,17,1,0,0,1,0,0,0,0,0,0,0,0,0
207,17,1,0,0,1,0,0,0,0,0,0,0,0,0
208,17,3,1,0,0,0,0,0,0,0,0,0,0,0
209,17,1,0,0,1,0,0,0,0,0,0,0,0,0
210,17,3,1,0,0,0,0,0,0,0,0,0,0,0
211,18,3,0,0,0,0,0,0,0,0,1,0,0,0
212,18,9,0,0,1,0,0,0,0,0,0,0,0,0
213,18,3,0,0,0,0,0,0,0,0,1,0,0,0
214,18,3,0,0,0,0,0,0,0,0,1,0,0,0
215,18,9,0,0,1,0,0,0,0,0,0,0,0,0
216,18,3,0,0,0,0,0,0,0,0,1,0,0,0
217,18,3,0,0,0,0,0,0,0,0,1,0,0,0
218,18,9,0,0,1,0,0,0,0,0,0,0,0,0
219,18,9,0,0,1,0,0,0,0,0,0,0,0,0
220,18,3,0,0,0,0,0,0,0,0,1,0,0,0
221,18,9,0,0,1,0,0,0,0,0,0,0,0,0
222,18,9,0,0,1,0,0,0,0,0,0,0,0,0
223,18,9,0,0,1,0,0,0,0,0,0,0,0,0
224,18,9,0,0,1,0,0,0,0,0,0,0,0,0
225,18,3,0,0,0,0,0,0,0,0,1,0,0,0
226,18,9,0,0,1,0,0,0,0,0,0,0,0,0
227,18,3,0,0,0,0,0,0,0,0,1,0,0,0
228,18,9,0,0,1,0,0,0,0,0,0,0,0,0
229,18,3,0,0,0,0,0,0,0,0,1,0,0,0
230,18,9,0,0,1,0,0,0,0,0,0,0,0,0
231,18,9,0,0,1,0,0,0,0,0,0,0,0,0
232,18,3,0,0,0,0,0,0,0,0,1,0,0,0
233,18,9,0,0,1,0,0,0,0,0,0,0,0,0
