eventID,sceneID,speakerID,Parker (1),Brett (2),Kane (3),Dallas (4),Ash (5),Ripley (6),Lambert (7)
211,15,6,1,1,0,0,0,0,1
212,15,4,0,0,0,0,1,0,0
213,15,4,0,0,0,0,1,0,0
214,15,5,0,0,0,1,0,0,0
215,15,5,0,0,0,1,0,0,0
216,15,4,0,0,0,0,1,0,0
217,15,5,0,0,0,1,0,0,0
218,15,4,0,0,0,0,1,0,0
219,15,5,0,0,0,1,0,0,0
220,15,4,0,0,0,0,1,0,0
221,15,5,0,0,0,1,0,0,0
222,15,1,0,0,0,0,0,1,1
223,15,1,0,0,0,1,1,0,0
224,15,5,0,0,0,1,0,0,0
225,15,4,0,0,0,0,1,0,0
226,15,5,0,0,0,1,0,0,0
227,15,4,0,0,0,0,1,0,0
228,15,4,0,0,0,0,1,0,0
229,15,5,0,0,0,1,0,0,0
230,15,5,0,0,0,1,0,0,0
231,15,4,0,0,0,0,1,0,0
232,15,5,0,0,0,1,0,0,0
233,15,4,0,0,0,0,1,0,0
234,16,4,0,0,0,0,1,0,0
235,16,5,0,0,0,1,0,0,0
236,16,5,0,0,0,1,0,0,0
237,16,4,0,0,0,0,1,0,0
238,16,4,1,1,0,0,0,1,1
239,16,1,0,0,0,1,0,0,0
240,16,4,1,1,0,0,0,1,1
241,16,1,0,1,0,1,0,1,0
242,16,1,0,0,0,0,0,1,0
243,16,6,1,1,0,1,0,0,0
244,16,1,0,1,0,0,0,0,0
245,16,4,0,1,0,0,0,0,0
246,16,4,0,1,0,0,0,0,0
247,16,2,0,0,0,1,0,0,0
248,16,4,1,1,0,0,0,1,0
249,16,2,0,0,0,1,0,0,0
250,16,1,0,0,0,1,0,0,0
251,16,6,0,0,0,1,0,0,0
252,16,4,0,1,0,0,0,0,0
253,16,1,0,0,0,1,0,0,0
254,16,4,1,0,0,0,0,0,0
255,16,2,0,0,0,1,0,0,0
256,17,2,1,0,0,0,0,0,0
257,17,2,1,0,0,0,0,0,0
258,17,1,0,1,0,0,0,0,0
259,17,2,1,0,0,0,0,0,0
260,17,1,0,1,0,0,0,0,0
261,17,2,1,0,0,0,0,0,0
262,17,1,0,1,0,0,0,0,0
263,18,6,0,0,0,0,1,0,0
264,18,5,0,0,0,0,0,1,0
265,18,5,0,0,0,0,0,1,0
266,18,6,0,0,0,0,1,0,0
267,18,5,0,0,0,0,0,1,0
268,18,6,0,0,0,0,1,0,0
269,18,5,0,0,0,0,0,1,0
270,18,6,0,0,0,0,1,0,0
271,18,5,0,0,0,0,0,1,0
272,18,6,0,0,0,0,1,0,0
273,18,5,0,0,0,0,0,1,0
274,18,6,0,0,0,0,1,0,0
275,18,5,0,0,0,0,0,1,0
276,18,6,0,0,0,0,1,0,0
277,18,5,0,0,0,0,0,1,0
278,18,6,0,0,0,0,1,0,0
279,18,5,0,0,0,0,0,1,0
280,18,6,0,0,0,0,1,0,0
281,18,5,0,0,0,0,0,1,0
282,18,6,0,0,0,0,1,0,0
283,18,5,0,0,0,0,0,1,0
284,18,6,0,0,0,0,1,0,0
285,18,5,0,0,0,0,0,1,0
286,19,6,0,0,0,0,1,0,0
287,19,5,0,0,0,0,0,1,0
288,19,5,0,0,0,1,0,0,0
289,19,4,0,0,0,0,1,0,0
290,19,5,0,0,0,1,0,0,0
291,19,4,0,0,0,0,1,0,0
292,19,5,0,0,0,1,0,0,0
293,19,4,0,0,0,0,0,1,0
294,20,6,0,0,0,0,1,0,0
295,20,5,0,0,0,0,0,1,0
296,20,4,0,0,0,0,1,1,0
297,20,6,0,0,0,1,0,0,0
298,20,4,0,0,0,0,0,1,0
299,20,5,0,0,0,0,0,1,0
300,20,4,0,0,0,0,0,1,0
301,20,5,0,0,0,1,0,1,0
302,20,4,0,0,0,0,1,0,0
303,20,4,0,0,0,0,1,0,0
304,20,5,0,0,0,1,0,1,0
305,20,5,0,0,0,0,0,1,0
306,20,5,0,0,0,1,0,1,0
307,20,6,0,0,0,0,1,0,0
308,20,5,0,0,0,0,0,1,0
309,20,6,0,0,0,0,1,0,0
310,20,5,0,0,0,0,0,1,0
311,20,5,0,0,0,1,0,0,0
312,20,4,0,0,0,0,1,0,0
313,20,6,0,0,0,1,0,0,0
314,21,4,0,0,0,0,0,1,0
315,21,6,0,0,0,1,0,0,0
316,21,6,0,0,0,1,0,0,0
317,21,4,0,0,0,0,0,1,0
318,21,6,0,0,0,1,0,0,0
319,21,4,0,0,0,0,0,1,0
320,21,6,0,0,0,1,0,0,0
321,21,4,0,0,0,0,0,1,0
322,21,6,0,0,0,1,0,0,0
323,21,4,0,0,0,0,0,1,0
324,21,6,0,0,0,1,0,0,0
325,21,4,0,0,0,0,0,1,0
326,21,6,0,0,0,1,0,0,0
327,21,4,0,0,0,0,0,1,0
328,21,6,0,0,0,1,0,0,0
329,21,4,0,0,0,0,0,1,0
330,21,6,0,0,0,1,0,0,0
331,21,4,0,0,0,0,0,1,0
332,21,6,0,0,0,1,0,0,0
333,21,4,0,0,0,0,0,1,0
334,22,2,1,0,0,0,0,0,0
335,22,1,0,1,0,0,0,0,0
336,22,6,1,1,0,1,1,0,1
337,22,6,0,0,0,0,0,0,1
338,22,7,0,0,0,0,0,1,0
339,22,6,0,0,0,0,0,0,1
340,22,7,0,0,0,0,0,1,0
341,22,6,0,0,0,0,0,0,1
342,22,6,1,0,0,0,0,0,0
343,22,1,0,0,0,0,0,1,0
344,22,1,0,1,0,1,1,1,1
345,22,2,1,0,0,0,0,0,0
346,23,1,0,1,0,1,0,1,1
347,23,2,1,0,0,0,0,0,0
348,23,6,0,1,0,0,0,0,0
349,23,2,0,0,0,0,0,1,0
350,23,6,1,0,0,0,0,0,0
351,23,1,0,1,0,0,0,0,0
352,23,2,1,0,0,0,0,0,0
353,23,4,1,1,0,0,0,1,0
354,23,6,0,0,0,1,0,0,0
355,23,7,1,1,0,1,0,1,0
356,23,4,0,0,0,0,0,0,1
357,23,7,0,0,0,1,0,0,0
358,23,4,0,0,0,0,0,0,1
359,23,7,0,0,0,1,0,0,0
360,23,5,0,0,0,1,0,0,0
361,23,4,0,0,0,0,1,0,0
362,23,5,0,0,0,1,0,0,0
363,23,6,0,0,0,0,1,0,0
364,24,7,0,0,1,0,0,0,0
365,24,1,0,0,1,0,0,0,0
366,24,3,1,0,0,0,0,0,0
367,24,3,0,0,0,0,1,0,0
368,24,4,0,0,1,0,0,0,0
369,24,6,0,0,1,0,0,0,0
370,24,3,0,0,0,0,0,1,0
371,24,3,1,1,0,1,1,1,1
372,24,4,0,0,1,0,0,0,0
373,24,6,0,0,1,0,0,0,0
374,24,2,0,0,1,0,0,0,0
375,24,3,1,1,0,1,1,1,1
376,24,1,0,1,1,1,1,1,1
377,24,4,1,1,1,0,1,1,1
378,24,1,0,1,1,1,1,1,1
379,25,3,1,1,0,1,1,1,1
380,25,1,0,0,1,0,0,0,0
381,25,7,1,0,0,0,0,0,0
382,25,1,0,0,0,0,0,0,1
383,25,3,1,0,0,0,0,0,0
384,25,1,0,0,1,0,0,0,0
385,25,1,0,0,1,0,0,0,0
386,25,6,0,0,1,0,0,0,0
387,25,1,0,0,1,0,0,0,0
388,25,7,0,0,1,0,0,0,0
389,25,4,0,0,1,0,0,0,0
390,25,5,1,1,0,1,0,1,1
391,25,4,0,0,1,0,0,0,0
392,26,4,1,1,0,0,1,1,1
393,27,2,1,0,0,1,1,1,1
394,27,2,1,0,0,1,1,1,1
395,27,7,1,1,0,1,1,1,0
396,27,5,0,0,0,0,0,0,1
397,27,5,1,1,0,1,0,1,1
398,27,6,0,0,0,0,1,0,0
399,27,5,0,0,0,0,0,1,0
400,27,4,0,0,0,0,1,0,0
401,27,5,0,0,0,1,0,0,0
402,27,4,0,0,0,0,1,0,0
403,27,4,1,1,0,0,1,1,1
404,27,4,1,0,0,0,0,0,0
405,27,4,1,1,0,0,1,1,1
406,28,6,1,1,0,0,0,0,0
407,28,2,0,0,0,0,0,1,0
408,28,1,0,1,0,0,0,1,0
409,28,2,1,0,0,0,0,0,0
410,28,1,0,1,0,0,0,0,0
411,28,2,1,0,0,0,0,0,0
412,28,1,0,1,0,0,0,0,0
413,28,2,1,0,0,0,0,0,0
414,28,2,1,0,0,0,0,0,0
415,28,1,0,1,0,0,0,0,0
416,28,6,1,1,0,0,0,0,0
417,28,6,1,1,0,0,0,0,0
418,28,6,1,1,0,0,0,0,0
419,28,6,1,1,0,0,0,0,0
420,28,1,0,1,0,0,0,1,0
421,28,1,0,1,0,0,0,0,0
422,28,6,1,1,0,0,0,0,0
423,28,6,1,1,0,0,0,0,0
424,28,1,0,0,0,0,0,1,0
425,28,6,1,1,0,0,0,0,0
426,28,1,0,0,0,0,0,1,0
427,28,2,0,0,0,0,0,1,0
428,28,6,0,1,0,0,0,0,0
429,28,2,0,0,0,0,0,1,0
430,28,6,1,0,0,0,0,0,0
