eventID,sceneID,speakerID,Bruce Banner (1),Kathleen Sparr (2),General Ross (3),Joe Greller (4),Emil Blonsky (5),Martina (6),Stanley (7),Betty Ross (8),Leonard Samson (9),Samuel Sterns (10),Tony Stark (11)
225,36,10,0,0,0,0,0,0,0,1,0,0,0
226,36,8,1,0,0,0,0,0,0,0,0,0,0
227,36,1,0,0,0,0,0,0,0,1,0,0,0
228,36,8,1,0,0,0,0,0,0,0,0,0,0
229,37,10,1,0,0,0,0,0,0,1,0,0,0
230,37,8,0,0,0,0,0,0,0,0,0,1,0
231,37,10,1,0,0,0,0,0,0,1,0,0,0
232,37,8,1,0,0,0,0,0,0,0,0,0,0
233,37,1,0,0,0,0,0,0,0,0,0,1,0
234,37,10,1,0,0,0,0,0,0,1,0,0,0
235,37,1,0,0,0,0,0,0,0,0,0,1,0
236,37,10,1,0,0,0,0,0,0,1,0,0,0
237,38,10,1,0,0,0,0,0,0,0,0,0,0
238,38,1,0,0,0,0,0,0,0,0,0,1,0
239,38,10,1,0,0,0,0,0,0,0,0,0,0
240,38,1,0,0,0,0,0,0,0,0,0,1,0
241,38,10,1,0,0,0,0,0,0,0,0,0,0
242,38,1,0,0,0,0,0,0,0,0,0,1,0
243,38,10,1,0,0,0,0,0,0,0,0,0,0
244,38,1,0,0,0,0,0,0,0,0,0,1,0
245,39,10,1,0,0,0,0,0,0,0,0,0,0
246,39,1,0,0,0,0,0,0,0,0,0,1,0
247,39,2,0,0,1,0,0,0,0,0,0,0,0
248,39,3,0,0,0,0,1,0,0,0,0,0,0
249,40,10,1,0,0,0,0,0,0,0,0,0,0
250,40,1,0,0,0,0,0,0,0,0,0,1,0
251,40,10,1,0,0,0,0,0,0,0,0,0,0
252,40,8,1,0,0,0,0,0,0,0,0,0,0
253,40,5,0,0,0,0,0,0,0,1,0,0,0
254,40,5,1,0,0,0,0,0,0,0,0,0,0
255,40,5,1,0,0,0,0,0,0,0,0,0,0
256,41,3,1,0,0,0,0,0,0,0,0,0,0
257,41,3,0,0,0,0,0,0,0,1,0,0,0
258,41,8,0,0,1,0,0,0,0,0,0,0,0
259,41,3,0,0,0,0,0,0,0,1,0,0,0
260,41,8,0,0,1,0,0,0,0,0,0,0,0
261,41,3,0,0,0,0,0,0,0,1,0,0,0
262,42,2,0,0,0,0,0,0,0,0,0,1,0
263,42,10,0,1,0,0,0,0,0,0,0,0,0
264,42,2,0,0,0,0,0,0,0,0,0,1,0
265,42,5,0,1,0,0,0,0,0,0,0,0,0
266,42,10,0,0,0,0,1,0,0,0,0,0,0
267,42,10,0,0,0,0,1,0,0,0,0,0,0
268,42,5,0,0,0,0,0,0,0,0,0,1,0
269,42,10,0,0,0,0,1,0,0,0,0,0,0
270,42,5,0,0,0,0,0,0,0,0,0,1,0
271,42,10,0,0,0,0,1,0,0,0,0,0,0
272,42,5,0,0,0,0,0,0,0,0,0,1,0
273,42,10,0,0,0,0,1,0,0,0,0,0,0
