eventID,sceneID,speakerID,Katniss Everdeen (1),Finnick Odair (2),Boggs (3),Plutarch Heavensbee (4),President Coin (5),Beetee (6),Gale Hawthorne (7),President Snow (8),Egeria (9),Prim Everdeen (10),Caesar Flickmerman (11),Peeta Mellark (12),Effie Trinket (13),Haymitch Abernathy (14),Cressida (15),Messala (16),Castor (17),Commander Paylor (18),Antonius (19),Annie Cresta (20),Eddy (21)
42,7,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
43,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,9,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,9,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
46,9,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
47,9,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
48,9,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
49,9,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,9,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51,9,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
52,9,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53,9,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
54,9,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55,9,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
56,9,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
57,9,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
58,9,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
59,9,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
60,9,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
61,9,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
62,9,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
63,9,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
64,9,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
65,9,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
66,9,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
67,9,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
68,9,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
69,9,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
70,9,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
71,9,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72,9,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
73,9,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
74,9,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
75,9,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
76,9,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
77,9,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
