eventID,sceneID,speakerID,N'Jobu (1),Zuri (2),T'Chaka (3),Okoye (4),T'Challa (5),Nakia (6),Ramonda (7),Shuri (8),Ayo (9),Erik Killmonger (10),Ulysses Klaue (11),M'Baku (12),W'Kabi (13),Sophia (14),Everett Ross (15),Linda (16),Bucky Barnes (17)
54,5,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55,5,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
56,5,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
57,5,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
58,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
59,5,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
60,5,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
61,6,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
62,6,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
63,6,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
64,6,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
65,6,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
66,6,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
67,6,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
68,6,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
69,6,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
70,6,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
71,6,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72,7,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
73,7,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
74,7,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,7,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
76,7,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
